------------------------------------------------------------------------------------------------------------------------
Best parameters found:
 {'activation': 'tanh', 'hidden_layer_sizes': 9, 'learning_rate': 'constant', 'learning_rate_init': 0.025007500000000002, 'solver': 'adam'}
0.845 (+/-0.003) for {'activation': 'tanh', 'hidden_layer_sizes': 8, 'learning_rate': 'adaptive', 'learning_rate_init': 0.1, 'solver': 'adam'}
0.762 (+/-0.001) for {'activation': 'tanh', 'hidden_layer_sizes': 9, 'learning_rate': 'constant', 'learning_rate_init': 1e-05, 'solver': 'sgd'}
0.759 (+/-0.007) for {'activation': 'tanh', 'hidden_layer_sizes': 9, 'learning_rate': 'constant', 'learning_rate_init': 1e-05, 'solver': 'adam'}
0.845 (+/-0.002) for {'activation': 'tanh', 'hidden_layer_sizes': 9, 'learning_rate': 'constant', 'learning_rate_init': 0.025007500000000002, 'solver': 'sgd'}
0.856 (+/-0.004) for {'activation': 'tanh', 'hidden_layer_sizes': 9, 'learning_rate': 'constant', 'learning_rate_init': 0.025007500000000002, 'solver': 'adam'}
0.850 (+/-0.004) for {'activation': 'tanh', 'hidden_layer_sizes': 9, 'learning_rate': 'constant', 'learning_rate_init': 0.05000500000000001, 'solver': 'sgd'}
0.850 (+/-0.004) for {'activation': 'tanh', 'hidden_layer_sizes': 9, 'learning_rate': 'constant', 'learning_rate_init': 0.05000500000000001, 'solver': 'adam'}
0.850 (+/-0.003) for {'activation': 'tanh', 'hidden_layer_sizes': 9, 'learning_rate': 'constant', 'learning_rate_init': 0.0750025, 'solver': 'sgd'}
0.850 (+/-0.004) for {'activation': 'tanh', 'hidden_layer_sizes': 9, 'learning_rate': 'constant', 'learning_rate_init': 0.0750025, 'solver': 'adam'}
0.846 (+/-0.004) for {'activation': 'tanh', 'hidden_layer_sizes': 9, 'learning_rate': 'constant', 'learning_rate_init': 0.1, 'solver': 'sgd'}
0.844 (+/-0.007) for {'activation': 'tanh', 'hidden_layer_sizes': 9, 'learning_rate': 'constant', 'learning_rate_init': 0.1, 'solver': 'adam'}
0.749 (+/-0.030) for {'activation': 'tanh', 'hidden_layer_sizes': 9, 'learning_rate': 'adaptive', 'learning_rate_init': 1e-05, 'solver': 'sgd'}
0.736 (+/-0.057) for {'activation': 'tanh', 'hidden_layer_sizes': 9, 'learning_rate': 'adaptive', 'learning_rate_init': 1e-05, 'solver': 'adam'}
0.848 (+/-0.004) for {'activation': 'tanh', 'hidden_layer_sizes': 9, 'learning_rate': 'adaptive', 'learning_rate_init': 0.025007500000000002, 'solver': 'sgd'}
0.851 (+/-0.004) for {'activation': 'tanh', 'hidden_layer_sizes': 9, 'learning_rate': 'adaptive', 'learning_rate_init': 0.025007500000000002, 'solver': 'adam'}
0.850 (+/-0.002) for {'activation': 'tanh', 'hidden_layer_sizes': 9, 'learning_rate': 'adaptive', 'learning_rate_init': 0.05000500000000001, 'solver': 'sgd'}
0.851 (+/-0.003) for {'activation': 'tanh', 'hidden_layer_sizes': 9, 'learning_rate': 'adaptive', 'learning_rate_init': 0.05000500000000001, 'solver': 'adam'}
0.850 (+/-0.003) for {'activation': 'tanh', 'hidden_layer_sizes': 9, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0750025, 'solver': 'sgd'}
0.848 (+/-0.004) for {'activation': 'tanh', 'hidden_layer_sizes': 9, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0750025, 'solver': 'adam'}
0.851 (+/-0.004) for {'activation': 'tanh', 'hidden_layer_sizes': 9, 'learning_rate': 'adaptive', 'learning_rate_init': 0.1, 'solver': 'sgd'}
0.852 (+/-0.002) for {'activation': 'tanh', 'hidden_layer_sizes': 9, 'learning_rate': 'adaptive', 'learning_rate_init': 0.1, 'solver': 'adam'}
0.761 (+/-0.003) for {'activation': 'tanh', 'hidden_layer_sizes': 10, 'learning_rate': 'constant', 'learning_rate_init': 1e-05, 'solver': 'sgd'}
0.763 (+/-0.001) for {'activation': 'tanh', 'hidden_layer_sizes': 10, 'learning_rate': 'constant', 'learning_rate_init': 1e-05, 'solver': 'adam'}
0.849 (+/-0.002) for {'activation': 'tanh', 'hidden_layer_sizes': 10, 'learning_rate': 'constant', 'learning_rate_init': 0.025007500000000002, 'solver': 'sgd'}
0.848 (+/-0.011) for {'activation': 'tanh', 'hidden_layer_sizes': 10, 'learning_rate': 'constant', 'learning_rate_init': 0.025007500000000002, 'solver': 'adam'}
0.847 (+/-0.002) for {'activation': 'tanh', 'hidden_layer_sizes': 10, 'learning_rate': 'constant', 'learning_rate_init': 0.05000500000000001, 'solver': 'sgd'}
0.850 (+/-0.002) for {'activation': 'tanh', 'hidden_layer_sizes': 10, 'learning_rate': 'constant', 'learning_rate_init': 0.05000500000000001, 'solver': 'adam'}
0.848 (+/-0.003) for {'activation': 'tanh', 'hidden_layer_sizes': 10, 'learning_rate': 'constant', 'learning_rate_init': 0.0750025, 'solver': 'sgd'}
0.849 (+/-0.003) for {'activation': 'tanh', 'hidden_layer_sizes': 10, 'learning_rate': 'constant', 'learning_rate_init': 0.0750025, 'solver': 'adam'}
0.849 (+/-0.003) for {'activation': 'tanh', 'hidden_layer_sizes': 10, 'learning_rate': 'constant', 'learning_rate_init': 0.1, 'solver': 'sgd'}
0.849 (+/-0.006) for {'activation': 'tanh', 'hidden_layer_sizes': 10, 'learning_rate': 'constant', 'learning_rate_init': 0.1, 'solver': 'adam'}
0.758 (+/-0.007) for {'activation': 'tanh', 'hidden_layer_sizes': 10, 'learning_rate': 'adaptive', 'learning_rate_init': 1e-05, 'solver': 'sgd'}
0.763 (+/-0.004) for {'activation': 'tanh', 'hidden_layer_sizes': 10, 'learning_rate': 'adaptive', 'learning_rate_init': 1e-05, 'solver': 'adam'}
0.850 (+/-0.004) for {'activation': 'tanh', 'hidden_layer_sizes': 10, 'learning_rate': 'adaptive', 'learning_rate_init': 0.025007500000000002, 'solver': 'sgd'}
0.850 (+/-0.003) for {'activation': 'tanh', 'hidden_layer_sizes': 10, 'learning_rate': 'adaptive', 'learning_rate_init': 0.025007500000000002, 'solver': 'adam'}
0.852 (+/-0.003) for {'activation': 'tanh', 'hidden_layer_sizes': 10, 'learning_rate': 'adaptive', 'learning_rate_init': 0.05000500000000001, 'solver': 'sgd'}
0.852 (+/-0.003) for {'activation': 'tanh', 'hidden_layer_sizes': 10, 'learning_rate': 'adaptive', 'learning_rate_init': 0.05000500000000001, 'solver': 'adam'}
0.850 (+/-0.002) for {'activation': 'tanh', 'hidden_layer_sizes': 10, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0750025, 'solver': 'sgd'}
0.843 (+/-0.007) for {'activation': 'tanh', 'hidden_layer_sizes': 10, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0750025, 'solver': 'adam'}
0.851 (+/-0.004) for {'activation': 'tanh', 'hidden_layer_sizes': 10, 'learning_rate': 'adaptive', 'learning_rate_init': 0.1, 'solver': 'sgd'}
0.849 (+/-0.005) for {'activation': 'tanh', 'hidden_layer_sizes': 10, 'learning_rate': 'adaptive', 'learning_rate_init': 0.1, 'solver': 'adam'}
0.744 (+/-0.025) for {'activation': 'tanh', 'hidden_layer_sizes': 11, 'learning_rate': 'constant', 'learning_rate_init': 1e-05, 'solver': 'sgd'}
0.754 (+/-0.016) for {'activation': 'tanh', 'hidden_layer_sizes': 11, 'learning_rate': 'constant', 'learning_rate_init': 1e-05, 'solver': 'adam'}
0.849 (+/-0.004) for {'activation': 'tanh', 'hidden_layer_sizes': 11, 'learning_rate': 'constant', 'learning_rate_init': 0.025007500000000002, 'solver': 'sgd'}
0.851 (+/-0.003) for {'activation': 'tanh', 'hidden_layer_sizes': 11, 'learning_rate': 'constant', 'learning_rate_init': 0.025007500000000002, 'solver': 'adam'}
0.849 (+/-0.004) for {'activation': 'tanh', 'hidden_layer_sizes': 11, 'learning_rate': 'constant', 'learning_rate_init': 0.05000500000000001, 'solver': 'sgd'}
0.843 (+/-0.007) for {'activation': 'tanh', 'hidden_layer_sizes': 11, 'learning_rate': 'constant', 'learning_rate_init': 0.05000500000000001, 'solver': 'adam'}
0.848 (+/-0.005) for {'activation': 'tanh', 'hidden_layer_sizes': 11, 'learning_rate': 'constant', 'learning_rate_init': 0.0750025, 'solver': 'sgd'}
0.850 (+/-0.004) for {'activation': 'tanh', 'hidden_layer_sizes': 11, 'learning_rate': 'constant', 'learning_rate_init': 0.0750025, 'solver': 'adam'}
0.850 (+/-0.005) for {'activation': 'tanh', 'hidden_layer_sizes': 11, 'learning_rate': 'constant', 'learning_rate_init': 0.1, 'solver': 'sgd'}
0.847 (+/-0.006) for {'activation': 'tanh', 'hidden_layer_sizes': 11, 'learning_rate': 'constant', 'learning_rate_init': 0.1, 'solver': 'adam'}
0.755 (+/-0.008) for {'activation': 'tanh', 'hidden_layer_sizes': 11, 'learning_rate': 'adaptive', 'learning_rate_init': 1e-05, 'solver': 'sgd'}
0.750 (+/-0.028) for {'activation': 'tanh', 'hidden_layer_sizes': 11, 'learning_rate': 'adaptive', 'learning_rate_init': 1e-05, 'solver': 'adam'}
0.850 (+/-0.003) for {'activation': 'tanh', 'hidden_layer_sizes': 11, 'learning_rate': 'adaptive', 'learning_rate_init': 0.025007500000000002, 'solver': 'sgd'}
0.851 (+/-0.004) for {'activation': 'tanh', 'hidden_layer_sizes': 11, 'learning_rate': 'adaptive', 'learning_rate_init': 0.025007500000000002, 'solver': 'adam'}
0.851 (+/-0.004) for {'activation': 'tanh', 'hidden_layer_sizes': 11, 'learning_rate': 'adaptive', 'learning_rate_init': 0.05000500000000001, 'solver': 'sgd'}
0.853 (+/-0.004) for {'activation': 'tanh', 'hidden_layer_sizes': 11, 'learning_rate': 'adaptive', 'learning_rate_init': 0.05000500000000001, 'solver': 'adam'}
0.850 (+/-0.004) for {'activation': 'tanh', 'hidden_layer_sizes': 11, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0750025, 'solver': 'sgd'}
0.852 (+/-0.002) for {'activation': 'tanh', 'hidden_layer_sizes': 11, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0750025, 'solver': 'adam'}
0.851 (+/-0.003) for {'activation': 'tanh', 'hidden_layer_sizes': 11, 'learning_rate': 'adaptive', 'learning_rate_init': 0.1, 'solver': 'sgd'}
0.846 (+/-0.008) for {'activation': 'tanh', 'hidden_layer_sizes': 11, 'learning_rate': 'adaptive', 'learning_rate_init': 0.1, 'solver': 'adam'}
0.742 (+/-0.020) for {'activation': 'tanh', 'hidden_layer_sizes': 12, 'learning_rate': 'constant', 'learning_rate_init': 1e-05, 'solver': 'sgd'}
